,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
325,1,1,female,36.0,0,0,135.6333,C,First,woman,False,C,Cherbourg,yes,True
763,1,1,female,36.0,1,2,120.0,S,First,woman,False,B,Southampton,yes,False
387,1,2,female,36.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True
518,1,2,female,36.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False
540,1,1,female,36.0,0,2,71.0,S,First,woman,False,B,Southampton,yes,False
559,1,3,female,36.0,1,0,17.4,S,Third,woman,False,,Southampton,yes,False
327,1,2,female,36.0,0,0,13.0,S,Second,woman,False,D,Southampton,yes,True
503,0,3,female,37.0,0,0,9.5875,S,Third,woman,False,,Southampton,no,True
357,0,2,female,38.0,0,0,13.0,S,Second,woman,False,,Southampton,no,True
1,1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False
61,1,1,female,38.0,0,0,80.0,,First,woman,False,B,,yes,True
716,1,1,female,38.0,0,0,227.525,C,First,woman,False,C,Cherbourg,yes,True
25,1,3,female,38.0,1,5,31.3875,S,Third,woman,False,,Southampton,yes,False
558,1,1,female,39.0,1,1,79.65,S,First,woman,False,E,Southampton,yes,False
610,0,3,female,39.0,1,5,31.275,S,Third,woman,False,,Southampton,no,False
835,1,1,female,39.0,1,1,83.1583,C,First,woman,False,E,Cherbourg,yes,False
581,1,1,female,39.0,1,1,110.8833,C,First,woman,False,C,Cherbourg,yes,False
577,1,1,female,39.0,1,0,55.9,S,First,woman,False,E,Southampton,yes,False
885,0,3,female,39.0,0,5,29.125,Q,Third,woman,False,,Queenstown,no,False
161,1,2,female,40.0,0,0,15.75,S,Second,woman,False,,Southampton,yes,True
319,1,1,female,40.0,1,1,134.5,C,First,woman,False,E,Cherbourg,yes,False
609,1,1,female,40.0,0,0,153.4625,S,First,woman,False,C,Southampton,yes,True
670,1,2,female,40.0,1,1,39.0,S,Second,woman,False,,Southampton,yes,False
40,0,3,female,40.0,1,0,9.475,S,Third,woman,False,,Southampton,no,False
346,1,2,female,40.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True
254,0,3,female,41.0,0,2,20.2125,S,Third,woman,False,,Southampton,no,False
638,0,3,female,41.0,0,5,39.6875,S,Third,woman,False,,Southampton,no,False
272,1,2,female,41.0,0,1,19.5,S,Second,woman,False,,Southampton,yes,False
337,1,1,female,41.0,0,0,134.5,C,First,woman,False,E,Cherbourg,yes,True
380,1,1,female,42.0,0,0,227.525,C,First,woman,False,,Cherbourg,yes,True
432,1,2,female,42.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False
865,1,2,female,42.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True
779,1,1,female,43.0,0,1,211.3375,S,First,woman,False,B,Southampton,yes,False
678,0,3,female,43.0,1,6,46.9,S,Third,woman,False,,Southampton,no,False
194,1,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True
523,1,1,female,44.0,0,1,57.9792,C,First,woman,False,B,Cherbourg,yes,False
854,0,2,female,44.0,1,0,26.0,S,Second,woman,False,,Southampton,no,False
362,0,3,female,45.0,0,1,14.4542,C,Third,woman,False,,Cherbourg,no,False
706,1,2,female,45.0,0,0,13.5,S,Second,woman,False,,Southampton,yes,True
167,0,3,female,45.0,1,4,27.9,S,Third,woman,False,,Southampton,no,False
440,1,2,female,45.0,1,1,26.25,S,Second,woman,False,,Southampton,yes,False
276,0,3,female,45.0,0,0,7.75,S,Third,woman,False,,Southampton,no,True
856,1,1,female,45.0,1,1,164.8667,S,First,woman,False,,Southampton,yes,False
132,0,3,female,47.0,1,0,14.5,S,Third,woman,False,,Southampton,no,False
871,1,1,female,47.0,1,1,52.5542,S,First,woman,False,D,Southampton,yes,False
754,1,2,female,48.0,1,2,65.0,S,Second,woman,False,,Southampton,yes,False
736,0,3,female,48.0,1,3,34.375,S,Third,woman,False,,Southampton,no,False
556,1,1,female,48.0,1,0,39.6,C,First,woman,False,A,Cherbourg,yes,False
862,1,1,female,48.0,0,0,25.9292,S,First,woman,False,D,Southampton,yes,True
796,1,1,female,49.0,0,0,25.9292,S,First,woman,False,D,Southampton,yes,True
52,1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False
299,1,1,female,50.0,0,1,247.5208,C,First,woman,False,B,Cherbourg,yes,False
177,0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True
526,1,2,female,50.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True
259,1,2,female,50.0,0,1,26.0,S,Second,woman,False,,Southampton,yes,False
458,1,2,female,50.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True
765,1,1,female,51.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False
820,1,1,female,52.0,1,1,93.5,S,First,woman,False,B,Southampton,yes,False
591,1,1,female,52.0,1,0,78.2667,C,First,woman,False,D,Cherbourg,yes,False
571,1,1,female,53.0,2,0,51.4792,S,First,woman,False,C,Southampton,yes,False
496,1,1,female,54.0,1,0,78.2667,C,First,woman,False,D,Cherbourg,yes,False
513,1,1,female,54.0,1,0,59.4,C,First,woman,False,,Cherbourg,yes,False
774,1,2,female,54.0,1,3,23.0,S,Second,woman,False,,Southampton,yes,False
15,1,2,female,55.0,0,0,16.0,S,Second,woman,False,,Southampton,yes,True
879,1,1,female,56.0,0,1,83.1583,C,First,woman,False,C,Cherbourg,yes,False
772,0,2,female,57.0,0,0,10.5,S,Second,woman,False,E,Southampton,no,True
11,1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True
195,1,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True
268,1,1,female,58.0,0,1,153.4625,S,First,woman,False,C,Southampton,yes,False
366,1,1,female,60.0,1,0,75.25,C,First,woman,False,D,Cherbourg,yes,False
829,1,1,female,62.0,0,0,80.0,,First,woman,False,B,,yes,True
275,1,1,female,63.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False
483,1,3,female,63.0,0,0,9.5875,S,Third,woman,False,,Southampton,yes,True
